"AdvertiserID","AdvertiserName","AccountID","CAModelID","ImpressionCookieWindow","ClickCookieWindow"
"59353","RSA Conference","39792","1","90","90"
"61253","Kingston Technology","39792","2","30","30"
"61409","ESET","39792","2","30","60"
"61788","FireEye","39792","1","30","30"
"61903","Blue Coat Systems","39792","1","30","30"
"69155","TriNet","39792","1","30","30"
"72663","Kofax","39792","1","30","30"
"75004","Red Hat","39792","1","30","30"
"85951","Akamai","39792","1","30","30"
"89647","Lenovo","39792","1","30","30"
"92381","Cisco","39792","1","30","30"
"93593","Sophos","39792","1","30","30"
"95500","Plantronics","39792","1","30","30"
"97294","ServiceNow","39792","1","30","30"
