"DMACode","DMAName"
"662","Abilene-Sweetwater"
"250001","Ain"
"250002","Aisne"
"525","Albany  Ga"
"532","Albany-Schenectady-Troy"
"790","Albuquerque-Santa Fe"
"644","Alexandria  La"
"250003","Allier"
"583","Alpena"
"250004","Alpes-De-Haute-Provence"
"250006","Alpes-Maritimes"
"634","Amarillo"
"743","Anchorage"
"826001","Anglia"
"826013","Anglia/Central"
"826014","Anglia/London"
"826015","Anglia/Yorkshire"
"250007","Ardeche"
"250008","Ardennes"
"250009","Ariege"
"524","Atlanta"
"250010","Aube"
"250011","Aude"
"520","Augusta-Aiken"
"635","Austin"
"250012","Aveyron"
"800","Bakersfield"
"512","Baltimore"
"537","Bangor"
"250067","Bas-Rhin"
"716","Baton Rouge"
"692","Beaumont-Port Arthur"
"821","Bend  Or"
"756","Billings"
"746","Biloxi-Gulfport"
"502","Binghamton"
"630","Birmingham (Ann And Tusc)"
"559","Bluefield-Beckley-Oak Hill"
"757","Boise"
"826002","Border"
"826016","Border/Granada"
"826018","Border/Tyne Tees"
"506","Boston (Manchester)"
"250013","Bouches-Du-Rhone"
"736","Bowling Green"
"514","Buffalo"
"523","Burlington-Plattsburgh"
"754","Butte-Bozeman"
"250014","Calvados"
"250015","Cantal"
"767","Casper-Riverton"
"637","Cedar Rapids-Wtrlo-Iwc&Dub"
"826003","Central"
"826021","Central/Granada"
"826022","Central/London"
"826023","Central/Wales And West"
"826024","Central/Yorkshire"
"648","Champaign&Sprngfld-Decatur"
"250016","Charente"
"250017","Charente-Maritime"
"519","Charleston  Sc"
"564","Charleston-Huntington"
"517","Charlotte"
"584","Charlottesville"
"575","Chattanooga"
"250018","Cher"
"759","Cheyenne-Scottsbluf"
"602","Chicago"
"868","Chico-Redding"
"515","Cincinnati"
"598","Clarksburg-Weston"
"510","Cleveland-Akron (Canton)"
"752","Colorado Springs-Pueblo"
"546","Columbia  Sc"
"604","Columbia-Jefferson City"
"522","Columbus  Ga (Opelika  Al)"
"535","Columbus  Oh"
"673","Columbus-Tupelo-W Pnt-Hstn"
"600","Corpus Christi"
"250019","Correze"
"250900","Corse-Du-Sud"
"250020","Corse-Du-Sud"
"250021","Cote-D'Or"
"250022","Cotes-D'Armor"
"250023","Creuse"
"623","Dallas-Ft. Worth"
"682","Davenport-R.Island-Moline"
"542","Dayton"
"751","Denver"
"679","Des Moines-Ames"
"505","Detroit"
"250079","Deux-Sevres"
"250024","Dordogne"
"606","Dothan"
"250025","Doubs"
"250026","Drome"
"676","Duluth-Superior"
"765","El Paso (Las Cruces)"
"565","Elmira (Corning)"
"516","Erie"
"250091","Essonne"
"801","Eugene"
"250027","Eure"
"250028","Eure-Et-Loir"
"802","Eureka"
"649","Evansville"
"745","Fairbanks"
"724","Fargo-Valley City"
"250029","Finistere"
"513","Flint-Saginaw-Bay City"
"866","Fresno-Visalia"
"571","Ft. Myers-Naples"
"670","Ft. Smith-Fay-Sprngdl-Rgrs"
"509","Ft. Wayne"
"592","Gainesville"
"250030","Gard"
"250032","Gers"
"250033","Gironde"
"798","Glendive"
"826004","Granada"
"826025","Granada/Wales And West"
