"PlacementID","PlacementName","PackageID","PackageName","IsRealPackage","CampaignID","CreationDate","StartDate","ActualStartDate","EndDate","UnitSize","SiteID","BookedImpressions","CostModel","ROIMetric","ROIMetricConversionID","ROIMetricCustomInteractionID","CostPerUnit","OrderedUnits","ValuePerAction","TargetAudience","Classification1","Classification2","Classification3","Classification4","Classification5","CostCappingCalcualtion"
"3451058","Online Tech  Business  & News Leader Board Country United States","3165678","Non Packaged Placements","1","169898","10/27/2011 12:23:05 PM","10/27/2011 12:00:00 AM","10/27/2011 7:30:00 PM","12/20/2011 11:59:00 PM","728x90","5996","1149425","Zero Cost","All Conversions"," "," ","0","0"," "," ","Oct - Dec 2011","","","",""," "
"3451065","Online Tech  Business  & News Messaging Plus United States","3165685","Non Packaged Placements","1","169898","10/27/2011 12:25:53 PM","10/27/2011 12:00:00 AM","10/27/2011 7:00:01 PM","12/20/2011 11:59:00 PM","300x250","5996","1173021","Zero Cost","All Conversions"," "," ","0","0"," "," ","Oct - Dec 2011","","","",""," "
"3740927","RON Value Add Leaderboard (Business)","3411380","Non Packaged Placements","1","180183","12/27/2011 7:07:12 PM","1/1/2012 3:00:00 AM","1/12/2012 3:15:01 PM","10/1/2012 2:59:00 AM","728x90","1550","1500000","Zero Cost","All Conversions"," "," ","0","0"," "," ","Business","Value Add","","No longer running in Q4",""," "
"3756992","Download Security MPU","3425539","Non Packaged Placements","1","180183","1/3/2012 6:17:21 PM","1/1/2012 3:00:00 AM","1/20/2012 4:00:01 PM","1/1/2013 2:59:00 AM","300x250","179","1939394","CPM","All Conversions"," "," ","7.7","1939394"," "," ","Consumer","","","No longer running in Q4","","True"
"3778671","ATF  Retargeting Package","3445053","ATF - Retargeting Package","0","180183","1/9/2012 5:06:48 PM","2/1/2012 3:00:00 AM","2/1/2012 2:45:00 AM","1/1/2013 2:59:00 AM","160x600","12732","9629630","CPM","All Conversions"," ","","3.5","9629630"," "," ","Consumer","","","","","False"
"3778673","ATF  Retargeting Package","3445053","ATF - Retargeting Package","0","180183","1/9/2012 5:06:48 PM","2/1/2012 3:00:00 AM","2/1/2012 5:45:00 AM","1/1/2013 2:59:00 AM","728x90","12732","9629630","CPM","All Conversions"," ","","3.5","9629630"," "," ","Consumer","","","","","False"
"4514733","ROS Network Leaderboard","4099945","ROS Network Banners","0","209953","4/13/2012 7:49:03 PM","4/9/2012 12:00:00 AM","5/3/2012 9:30:00 AM","6/8/2012 11:59:00 PM","728x90","2605","35388","CPM","Clicks"," ","","85","35388"," "," ","EMEA","Middle East","PacketShaper","","","False"
"5540525","Leaderboard_Jan13","4867822","Non Packaged Placements","1","258492","10/1/2012 2:40:43 PM","1/1/2013 12:00:00 AM","1/4/2013 1:15:00 AM","1/31/2013 11:59:00 PM","728x90","36177","120000","Zero Cost"," "," "," ","0","0"," "," ","IT Targeting","National","All IT Staff","120000","120000"," "
"6894854","Bizo_CRM_Retargeting_IMU_300x250","5918849","Bizo_CRM_Retargeting","0","311530","4/29/2013 8:30:53 PM","5/6/2013 12:00:00 AM","5/28/2013 1:45:00 PM","8/31/2013 11:59:00 PM","300x250","17978","800000","CPM"," "," "," ","15","800000"," "," ","Retargeting","USA","Business Decision Maker","800000","","True"
"6894862","VB_IMU_300x250","5918853","VB_VA_US_Banners","0","311530","4/29/2013 8:30:55 PM","5/6/2013 12:00:00 AM","5/8/2013 5:30:00 AM","12/31/2013 11:59:00 PM","300x250","25935","250000","Zero Cost"," "," "," ","0","0"," "," ","Added Value","USA","Business Decision Maker","250000",""," "
"6894863","VB_VA_300x600","5918853","VB_VA_US_Banners","0","311530","4/29/2013 8:30:56 PM","5/6/2013 12:00:00 AM","5/8/2013 5:00:00 PM","12/31/2013 11:59:00 PM","300x600","25935","250000","Zero Cost"," "," "," ","0","0"," "," ","Added Value","USA","Business Decision Maker","250000",""," "
"6934567","Q_RON_DE_728x90","5950704","Quantcast","0","313325","5/6/2013 2:32:02 PM","5/6/2013 3:00:00 AM","5/10/2013 12:00:00 PM","7/1/2013 2:59:00 AM","728x90","22061","5100000","CPM"," "," "," ","4.90196","5100000"," "," ","Data Targeting","Germany","Gamers-Tech Enthusiasts","","","True"
"7516469","Bizo_LinkedIn_Crosshairs","6458561","Bizo_LinkedIn Ads","0","328074","7/19/2013 4:45:37 PM","7/1/2013 3:00:00 AM","8/7/2013 9:30:01 PM","10/1/2013 2:59:00 AM","N/A","17978","-1","CPM","All Click-Through Conversions"," ","","3.5","2285714"," "," ","Data Targeting","USA","All IT Staff","","","True"
"7617962","ROS_TechTarget_300x600","6438175","Non Packaged Placements","1","311530","8/1/2013 11:46:32 AM","5/6/2013 12:00:00 AM","8/2/2013 3:00:00 AM","12/31/2013 11:59:00 PM","300x600","35398","162900","CPM","Clicks"," ","","50","162900"," "," ","Contextual Targeting","","","","","True"
"7658641","Custom Audience Blend 300x250","6465318","Custom Audience Blend","0","336627","8/7/2013 11:49:28 PM","8/22/2013 12:00:00 AM","8/20/2013 3:45:00 PM","12/22/2013 11:59:00 PM","300x250","323","6614286","CPM"," "," ","","3.5","6614286"," "," ","Custom Targeting","United States","Technical Decision Makers","300x250","","True"
"7703710","N. America Standard Targeted Banner 300x250","6498677","Non Packaged Placements","1","336627","8/14/2013 6:39:40 PM","8/22/2013 12:00:00 AM","8/20/2013 4:45:00 PM","12/22/2013 11:59:00 PM","300x250","19013","378250","CPM"," "," "," ","20","378250"," "," ","Custom Targeting","United States","Technical Decision Makers","300x250","","True"
"7703713","Cloud_N. America Dedicated eNewsletters","6498670","2 N. America Dedicated eNewsletters","0","336627","8/14/2013 6:39:42 PM","8/22/2013 12:00:00 AM","12/2/2013 1:30:01 PM","12/22/2013 11:59:00 PM","N/A","19013","75000","CPM"," "," ","","285","75000"," "," ","Custom Targeting","United States","Technical Decision Makers","","","True"
"7703714","N. America Reseller Dedicated eNewsletters","6498680","Non Packaged Placements","1","336627","8/14/2013 6:39:42 PM","8/22/2013 12:00:00 AM","10/4/2013 1:15:04 PM","12/22/2013 11:59:00 PM","N/A","19013","16000","CPM"," "," "," ","285","16000"," "," ","Custom Targeting","United States","Technical Decision Makers","","","True"
"7716720","Redmond 160x600 ROS banners","6509119","Redmond ROS Banners to Promote Advertorial","0","333597","8/16/2013 1:52:48 PM","7/22/2013 12:00:00 AM","8/19/2013 6:15:00 PM","12/31/2013 11:59:00 PM","160x600","14503","-1","Flat Fee","Clicks"," ","","34000"," "," "," ","","","","",""," "
"7716722","Redmond 160x160 ROS banners","6509119","Redmond ROS Banners to Promote Advertorial","0","333597","8/16/2013 1:53:39 PM","7/22/2013 12:00:00 AM","8/19/2013 6:15:00 PM","12/31/2013 11:59:00 PM","160x160","14503","-1","Flat Fee","Clicks"," ","","34000"," "," "," ","","","","",""," "
"7716724","Redmond 300x250 ROS banners","6509119","Redmond ROS Banners to Promote Advertorial","0","333597","8/16/2013 1:54:27 PM","7/22/2013 12:00:00 AM","8/20/2013 1:15:00 PM","12/31/2013 11:59:00 PM","300x250","14503","-1","Flat Fee","Clicks"," ","","34000"," "," "," ","","","","",""," "
"7716730","Redmond 728x90 ROS banners","6509119","Redmond ROS Banners to Promote Advertorial","0","333597","8/16/2013 1:55:16 PM","7/22/2013 12:00:00 AM","8/19/2013 6:00:00 PM","12/31/2013 11:59:00 PM","728x90","14503","-1","Flat Fee","Clicks"," ","","34000"," "," "," ","","","","",""," "
"7716980","Channel Pro ROS Web Ads 728x90","6509285","Channel Pro ROS Ads","0","333597","8/16/2013 2:19:35 PM","7/22/2013 12:00:00 AM","8/20/2013 3:15:00 PM","12/31/2013 11:59:00 PM","728x90","27691","-1","Flat Fee","Clicks"," ","","10000"," "," "," ","","","","",""," "
"7717004","Channel Pro ROS Web Ads 336x280","6509285","Channel Pro ROS Ads","0","333597","8/16/2013 2:20:23 PM","7/22/2013 12:00:00 AM","9/26/2013 11:45:00 AM","12/31/2013 11:59:00 PM","336x280","27691","-1","Flat Fee","Clicks"," ","","10000"," "," "," ","","","","",""," "
"7745401","Mobile_Animation_Sidekick_BuyersGuide","6483388","Expandable Package","0","336627","8/20/2013 2:32:41 PM","8/22/2013 12:00:00 AM","8/27/2013 7:15:00 PM","12/22/2013 11:59:00 PM","N/A","323","2914010","CPM"," "," ","","7.5","2914010"," "," ","Custom Targeting","United States","Technical Decision Makers","850x700","","True"
"7799664","EIP_Japan_300x250","6576961","EnterpriseInnovation_Japan_ROS","0","342215","8/26/2013 11:21:24 AM","12/1/2013 12:00:00 AM","12/24/2013 3:00:01 AM","1/31/2014 11:59:00 PM","300x250","39213","1","Flat Fee"," "," ","","5300"," "," "," ","ROS","Japan","Technical Decision Makers","",""," "
"7799670","TechTarget_UK_SecurityTargeted_728x90","6576964","TechTarget_UK_SecurityTargeted","0","342215","8/26/2013 11:21:28 AM","9/1/2013 12:00:00 AM","9/17/2013 4:30:00 AM","10/31/2013 11:59:00 PM","728x90","39738","124636","Flat Fee"," "," ","","10000"," "," "," ","Custom Channel","UK","Technical Decision Makers","",""," "
"7799671","TechTarget_UK_SecurityTargeted_300x250","6576964","TechTarget_UK_SecurityTargeted","0","342215","8/26/2013 11:21:29 AM","9/1/2013 12:00:00 AM","9/17/2013 4:15:00 AM","10/31/2013 11:59:00 PM","300x250","39738","124636","Flat Fee"," "," ","","10000"," "," "," ","Custom Channel","UK","Technical Decision Makers","",""," "
"7799672","ZDNET_UK_CXO_SecurityPushdown_728x90","6576976","Non Packaged Placements","1","342215","8/26/2013 11:21:30 AM","9/1/2013 12:00:00 AM","11/5/2013 3:30:00 AM","11/29/2013 11:59:00 PM","N/A","41313","15000","CPM"," "," ","","100","15000"," "," ","High Impact","UK","Technical Decision Makers","","","True"
"7802597","CIO_France_RON_300x250","6579355","Non Packaged Placements","1","342215","8/26/2013 5:54:59 PM","9/1/2013 12:00:00 AM","12/19/2013 9:30:00 AM","10/31/2013 11:59:00 PM","300x250","6360","76900","CPM","Clicks"," "," ","118.11","76900"," "," ","ROS","France","Technical Decision Makers","","","True"
"7802698","Vibrant_France_Cloud_InTextTargeted_300x250","7314266","InText Banners","0","342215","8/26/2013 6:01:28 PM","9/1/2013 12:00:00 AM","12/17/2013 4:00:00 PM","1/31/2014 11:59:00 PM","N/A","14075"," ","CPC","Clicks"," ","","3.35","2685"," "," ","Contextual Targeting","France","Technical Decision Makers","","","True"
