"SiteID","SiteName"
"179","CNET US"
"235","eBay US"
"323","Tribal Fusion US"
"699","Entrepreneur US"
"799","Dennis Publishing UK"
"1213","Wall Street Journal US (WSJ)"
"1550","PCMag Digital Network (Ziff Davis)"
"1630","Penton Media"
"2605","ITP.net ME"
"2966","The Register UK"
"3055","Incisive Media UK"
"3095","NetworkWorld"
"3394","CSO.com"
"3951","NetCommunities UK"
"5996","CBS Digital Media"
"6360","IDG FR"
"6554","SpecificMEDIA US"
"7736","SC Magazine"
"9045","Linkedin US"
"10455","Vibrant Media US"
"10623","PCMag.com"
"10834","NetMediaEurope DE"
"11166","ZDNet US"
"12281","InformationWeek US"
"12282","TechWeb US"
"12732","GENOME from Yahoo! US"
"14075","Vibrant Media FR"
"14503","1105 Media Inc."
"15817","Twelvefold Media (FKA BuzzLogic)"
"15899","Elsevier US"
"17283","Vibrant Media DE"
"17978","Bizo US"
"19013","Spiceworks US"
"20684","The Exchange Lab UK"
"22061","Quantcast"
"23043","DataXu"
"24111","Millennial Media Mobile US"
"25576","Infectious Media Limited"
"25935","VentureBeat"
"26855","Government Executive"
"27396","Varick Media Management"
"27691","ChannelProSMB"
"28911","Inc.com"
"29915","ISC2.org"
"30056","Tech Media Network"
"30718","SocialTyze.com"
"33139","ISMG Corp (Info Security Media Group)"
"34965","CBS Interactive AU"
"35215","ISACA.org"
"35398","AllThingsD.com"
"35478","Jameson Publishing"
"36058","ZDNet UK"
"36088","SourceForge"
"36177","QuinStreet"
"37026","Virtualization Review"
"38300","Computerwoche"
"38654","IDG TechNetwork"
"39098","AdRoll"
"39213","Questex SG"
"39738","TechTarget UK"
"40772","EECatalog"
"41313","CBS Interactive UK"
"41844","Channel Factory (Yellow Thunder Media)"
"41879","Microscope"
"42781","IDG Tech Network DE"
"44610","Rocket Fuel"
"45919","The Exchange Lab US"
"48775","Tech Target"
"49183","It Pro UK"
"49250","IDG"
"49254","TechTarget"
"49634","Ziff-Davis"
"60553","Chango.com"
"64264","UBM Techweb"
"64867","HEISE.DE"
"69720","inPowered  Inc"
"72254","BuyerBase"
"76784","Dark Reading"
"77180","Demandbase"
"82461","MessagingNews.com"
"82535","Help Net Security"
