"StateID","StateName"
"29233","Aakkar"
"30227","Aana"
"10151","Aargau"
"25336","Aberdeen City"
"25335","Aberdeenshire"
"25829","Abia"
"25565","Abkhazia"
"24854","Abra"
"30318","Abseron"
"25152","Abu Zaby"
"25843","Abuja (Fct)"
"30243","Abyan"
"23863","Aceh Sm"
"14847","Achaia"
"30385","Acklins"
"29735","Acquaviva"
"23779","Acre"
"29716","Ad Dakhiliyah"
"30244","Ad Dali"
"25292","Ad Daqahliyah"
"25911","Ad Dawhah"
"25205","Adamaoua"
"25830","Adamawa"
"26147","Adan"
"11024","Adana"
"29168","Adazu Novads"
"25327","Addis Ababa"
"24179","Adiyaman"
"25252","Adrar"
"29652","Adrar"
"23803","Adygeya Respublika"
"29109","Aerodrom"
"28999","Afar"
"23867","Afghanistan"
"786","Afghanistan"
"11026","Afyon"
"29681","Agadez"
"29658","Agalega Islands"
"30319","Agcabedi"
"30320","Agdam"
"30321","Agdas"
"24956","Agio Oros"
"29153","Aglonas Novads"
"28930","Agnebi"
"10809","Agrigento"
"19077","Agrri"
"30322","Agstafa"
"30323","Agsu"
"12590","Aguascalientes"
"12026","Agusan Del Norte"
"24843","Agusan Del Sur"
"30181","Ahal"
"29745","Ahuachapan"
"9562","Aichi"
"30229","Aiga-I-Le-Tai"
"30183","Aileu"
"29600","Ailinglaplap"
"30015","Ailuk"
"29996","Aimeliik"
"28979","Ain Defla"
"25286","Ain-Temouchent"
"30184","Ainaro"
"29997","Airai"
"24959","Aisen Del Gen Ibanez Del Camp"
"14844","Aitolia-Akarnania"
"29701","Aiwo"
"29154","Aizkraukles Novads"
"29155","Aizputes Novads"
"25566","Ajaria"
"25979","Ajdovscina"
"29097","Ajlun"
"25151","Ajman"
"11329","Akershus"
"9433","Akita"
"23957","Aklan"
"29157","Aknistes Novads"
"24180","Aksaray"
"25831","Akwa Ibom"
"25678","Al Ahmadi"
"25616","Al Anbar"
"29098","Al Aqabah"
"25310","Al Awsat"
"30083","Al Bahr Al Ahmar"
"25290","Al Bahr Al Ahmar"
"29101","Al Balqa"
"25618","Al Basrah"
"24969","Al Batah"
"29714","Al Batinah"
"30246","Al Bayda"
"25291","Al Buhayrah"
"29715","Al Buraymi"
"29269","Al Butnan"
"29195","Al Farwaniyah"
"25303","Al Fayyum"
"25154","Al Fujayrah"
"25294","Al Gharbiyah"
"29766","Al Hasakah"
"30251","Al Hudaydah"
"24819","Al Hudud Ash Shamallyah"
"25300","Al Iskandariyah"
"25296","Al Ismailiyah"
"29296","Al Jabal Al Akhdar"
"29298","Al Jabal Al Gharbi"
"25679","Al Jahrah"
"28995","Al Janubi"
"28673","Al Janubiyah"
"30257","Al Jawf"
"24970","Al Jawf"
"30075","Al Jazirah"
"29299","Al Jifarah"
"25295","Al Jizah"
"29300","Al Jufrah"
"29103","Al Karak"
"25915","Al Khartum"
"30060","Al Khawr Wa Adh Dhakhirah"
"29301","Al Kufrah"
"25680","Al Kuwayt"
"26045","Al Ladhiqiyah"
"29104","Al Mafraq"
"30258","Al Mahrah"
"30259","Al Mahwit"
"25180","Al Manamah"
"29302","Al Marj"
"25689","Al Marqab"
"28984","Al Minufiyah"
"28983","Al Minya"
"28674","Al Muharraq"
"29087","Al Muthanna"
"25626","Al Najaf"
"30074","Al Qadarif"
"25289","Al Qahirah"
"25297","Al Qalyubiyah"
"24818","Al Qasim"
"25628","Al Quadisiya"
"30159","Al Qunaytirah"
"25630","Al Sulaymaniah"
"25631","Al Ta'Amim"
"28987","Al Wadi Al Jadid"
"29304","Al Wahat"
"30064","Al Wakrah"
"28675","Al Wusta"
"29719","Al Wusta"
"23905","Al-Madinah"
"25299","Al-Uqsur"
"1","Alabama"
"10118","Alagoas"
"25224","Alajuela"
"24307","Aland Islands"
"24310","Aland Islands"
"2","Alaska"
"11468","Alava"
"23799","Alba"
"24001","Albacete"
"5388","Albania"
"378","Albania"
"12625","Albay"
"55","Alberta"
"10811","Alessandria"
"25265","Alger"
"505","Algeria"
"6798","Algeria"
"28956","Ali Sabieh"
"28652","Alibori"
"11416","Alicante"
"28140","Almaty"
"25653","Almaty Oblysy"
"11452","Almeria"
"29158","Alojas Novads"
"9846","Alsace"
"29160","Alsungas Novads"
"25595","Alta Verapaz"
"24683","Altay Respublika"
"12095","Altayskiy Kray"
"29185","Alto Paraguay"
"25903","Alto Parana"
"25723","Aluksnes Novads"
"25707","Alytaus"
"29183","Amambay"
"23778","Amapa"
"29000","Amara"
"24181","Amasya"
"29162","Amatas Novads"
"24813","Amazonas"
"24920","Amazonas"
"10119","Amazonas"
"24918","Amazonea"
"11571","American Samoa"
"230","American Samoa"
"25649","Amman"
"23820","Ammochostos Magusa"
"24894","Amnat Charoen"
"30260","Amran"
"12632","Amurskaya Oblast'"
"26121","An Giang"
"30081","An Nil"
"30082","An Nil Al Abyad"
"30079","An Nil Al Azraq"
"29305","An Nuqat Al Khams"
"29702","Anabar"
"25832","Anambra"
"11993","Ancash"
"10813","Ancona"
"9992","Andaman And Nicobar Islands"
"9994","Andhra Pradesh"
"26081","Andijon"
"521","Andorra"
"5389","Andorra"
"25150","Andorra La Vella"
"29613","Andrijevica"
"29217","Anenii Noi"
"29703","Anetan"
"24900","Ang Thong"
"29998","Angaur"
"13703","Angola"
"5386","Angola"
"371","Anguilla"
"5387","Anguilla"
"25339","Angus"
"10712","Anhui"
"29704","Anibare"
"29850","Anjouan"
"11027","Ankara"
"25272","Annaba"
"28993","Ansaba"
"30134","Anse Aux Pins"
"30135","Anse Boileau"
"30136","Anse Etoile"
"29329","Anse La Raye"
"30138","Anse Royale"
"11029","Antalya"
"25770","Antananarivo"
"15824","Antarctica"
"5415","Antarctica"
