"PlacementID","PlacementName","PackageID","PackageName","IsRealPackage","CampaignID","CreationDate","StartDate","ActualStartDate","EndDate","UnitSize","SiteID","BookedImpressions","CostModel","ROIMetric","ROIMetricConversionID","ROIMetricCustomInteractionID","CostPerUnit","OrderedUnits","ValuePerAction","TargetAudience","Classification1","Classification2","Classification3","Classification4","Classification5","CostCappingCalcualtion"
"3263736","Online Tech  Business & News","3007415","Non Packaged Placements","1","169898","9/21/2011 11:58:22 AM","10/10/2011 12:00:00 AM","10/1/2011 5:45:00 AM","12/20/2011 11:59:00 PM","728x90","5996","845917","Zero Cost","All Conversions"," "," ","0","0"," "," ","Oct - Dec 2011","","","",""," "
"3451058","Online Tech  Business  & News Leader Board Country United States","3165678","Non Packaged Placements","1","169898","10/27/2011 12:23:05 PM","10/27/2011 12:00:00 AM","10/27/2011 7:30:00 PM","12/20/2011 11:59:00 PM","728x90","5996","1149425","Zero Cost","All Conversions"," "," ","0","0"," "," ","Oct - Dec 2011","","","",""," "
"3451065","Online Tech  Business  & News Messaging Plus United States","3165685","Non Packaged Placements","1","169898","10/27/2011 12:25:53 PM","10/27/2011 12:00:00 AM","10/27/2011 7:00:01 PM","12/20/2011 11:59:00 PM","300x250","5996","1173021","Zero Cost","All Conversions"," "," ","0","0"," "," ","Oct - Dec 2011","","","",""," "
"3740908","ZD Blueprint Security One Month Sponsorship: 300x250","3411337","ZDNet Blueprint Security Month Sponsorship","0","180183","12/27/2011 7:07:09 PM","1/16/2012 12:00:00 AM","6/1/2012 8:30:00 AM","8/1/2012 11:59:00 PM","300x250","5996","1395000","Flat Fee","All Conversions"," ","","28000"," "," "," ","Business","","","",""," "
"3740909","ZD Blueprint Security One Month Sponsorship: 300x60","3411337","ZDNet Blueprint Security Month Sponsorship","0","180183","12/27/2011 7:07:09 PM","1/16/2012 12:00:00 AM","6/2/2012 3:15:00 AM","8/1/2012 11:59:00 PM","N/A","5996","1395000","Flat Fee","All Conversions"," ","","28000"," "," "," ","Business","","","",""," "
"3740911","ZD Blueprint Security One Month Sponsorship: 300x600","3411337","ZDNet Blueprint Security Month Sponsorship","0","180183","12/27/2011 7:07:09 PM","1/16/2012 12:00:00 AM","6/1/2012 10:15:00 AM","8/1/2012 11:59:00 PM","300x600","5996","1395000","Flat Fee","All Conversions"," ","","28000"," "," "," ","Business","","","",""," "
"3740912","ZD Blueprint Security One Month Sponsorship: 980x150","3411337","ZDNet Blueprint Security Month Sponsorship","0","180183","12/27/2011 7:07:09 PM","1/16/2012 12:00:00 AM","6/1/2012 8:30:00 AM","8/1/2012 11:59:00 PM","980x150","5996","1395000","Flat Fee","All Conversions"," ","","28000"," "," "," ","Business","","","",""," "
"3778641","ATF  ESET Custom Channel Package","3445052","ATF - Custom Channel Package","0","180183","1/9/2012 5:04:57 PM","2/1/2012 3:00:00 AM","2/1/2012 2:45:00 AM","1/1/2013 2:59:00 AM","300x250","12732","4444444","CPM","All Conversions"," ","","4.5","4444444"," "," ","Consumer","","","","","False"
"4008659","ESET Custom Vendor Page","3640227","Non Packaged Placements","1","180183","2/24/2012 7:10:22 PM","2/24/2011 3:00:00 AM","4/25/2012 8:15:00 PM","1/1/2013 2:59:00 AM","N/A","19013"," ","Flat Fee","All Conversions"," ","","12000"," "," "," ","Business","","","",""," "
"4514709","Tech Network","4099922","Non Packaged Placements","1","209953","4/13/2012 7:16:57 PM","4/9/2012 12:00:00 AM","5/2/2012 11:15:00 PM","6/30/2012 11:59:00 PM","300x250","30470","600000","CPM","Clicks"," ","","18","600000"," "," ","APAC","India","PacketShaper","","","False"
