"SiteID","SiteName"
"235","eBay US"
"323","Tribal Fusion US"
"528","UBM Media (formally CMP Media)"
"699","Entrepreneur US"
"799","Dennis Publishing UK"
"1213","Wall Street Journal US (WSJ)"
"1630","Penton Media"
"2342","Vibrantmedia UK"
"2966","The Register UK"
"3055","Incisive Media UK"
"3095","NetworkWorld"
"3394","CSO.com"
"5996","CBS Digital Media"
"6360","IDG FR"
"6554","SpecificMEDIA US"
"7736","SC Magazine"
"8665","WIN-Verlag GmbH & Co.KG"
"9045","Linkedin US"
"10455","Vibrant Media US"
"10623","PCMag.com"
"10834","NetMediaEurope DE"
"10980","The Register US"
"11166","ZDNet US"
"11192","CMP-WEKA DE"
"11729","Technology Review"
"12038","FierceMarkets"
"12281","InformationWeek US"
"12282","TechWeb US"
"12732","GENOME from Yahoo! US"
"14075","Vibrant Media FR"
"14503","1105 Media Inc."
"15817","Twelvefold Media (FKA BuzzLogic)"
"15899","Elsevier US"
"17978","Bizo US"
"19012","Gigaom"
"19013","Spiceworks US"
"20684","The Exchange Lab UK"
"22061","Quantcast"
"23043","DataXu"
"23553","OwnerIQ"
"24111","Millennial Media Mobile US"
"25576","Infectious Media Limited"
"26855","Government Executive"
"27396","Varick Media Management"
"27691","ChannelProSMB"
"27848","Nikkei JP (Site)"
"29513","eSchool News"
"29915","ISC2.org"
"30056","Tech Media Network"
"30470","IDG IN"
"30718","SocialTyze.com"
"33139","ISMG Corp (Info Security Media Group)"
"35215","ISACA.org"
"35478","Jameson Publishing"
"36088","SourceForge"
"37026","Virtualization Review"
"38300","Computerwoche"
"38654","IDG TechNetwork"
"39098","AdRoll"
"39213","Questex SG"
"40520","Netzmedien AG CH"
"40772","EECatalog"
"41313","CBS Interactive UK"
"41844","Channel Factory (Yellow Thunder Media)"
"42781","IDG Tech Network DE"
"44072","Tech&Learning"
"44610","Rocket Fuel"
"45919","The Exchange Lab US"
"46470","Edutopia.org"
"48775","Tech Target"
"49183","It Pro UK"
"49250","IDG"
"49254","TechTarget"
"49634","Ziff-Davis"
"50591","DataXu EMEA"
"60553","Chango.com"
"64264","UBM Techweb"
"64867","HEISE.DE"
"65044","Net Media Interactive DE"
"69720","inPowered  Inc"
"71409","Fierce Markets"
"72254","BuyerBase"
"73299","AppNexus"
"76784","Dark Reading"
"77180","Demandbase"
"77916","Dun and Bradstreet"
"82461","MessagingNews.com"
"82535","Help Net Security"
