d	COUNT(*)
2013-10-15	10778
2013-10-16	11102
2013-10-17	11462
2013-10-18	35128
2013-10-19	11964
2013-10-20	8970
2013-10-21	40128
2013-10-22	47364
2013-10-23	46144
2013-10-24	45778
2013-10-25	33452
2013-10-26	5294
2013-10-27	4972
2013-10-28	11878
2013-10-29	13102
2013-10-30	12412
2013-10-31	11588
2013-11-01	9838
2013-11-02	4746
2013-11-03	4572
2013-11-04	12448
2013-11-05	16194
2013-11-06	15290
2013-11-07	14724
2013-11-08	15626
2013-11-09	8260
2013-11-10	7306
2013-11-11	16210
2013-11-12	23076
2013-11-13	22514
2013-11-14	27594
2013-11-15	21948
2013-11-16	14488
2013-11-17	16190
2013-11-18	21076
2013-11-19	23634
2013-11-20	23772
2013-11-21	25080
2013-11-22	24002
2013-11-23	12936
2013-11-24	14458
2013-11-25	35898
2013-11-26	55470
2013-11-27	48154
2013-11-28	49636
2013-11-29	92408
2013-11-30	133206
2013-12-01	54842
2013-12-02	20912
2013-12-03	20624
2013-12-04	20638
2013-12-05	21260
2013-12-06	19262
2013-12-07	10706
2013-12-08	8750
2013-12-09	20140
2013-12-10	20438
2013-12-11	18828
2013-12-12	9190
2013-12-13	9815
2013-12-14	6650
2013-12-15	4890
2013-12-16	9791
2013-12-17	10707
2013-12-18	10679
2013-12-19	10005
2013-12-20	8756
2013-12-21	5096
2013-12-22	4662
2013-12-23	10093
2013-12-24	6647
2013-12-25	5420
2013-12-26	6906
2013-12-27	6250
2013-12-28	4259
2013-12-29	4353
2013-12-30	7318
2013-12-31	7459
2014-01-01	5176
2014-01-02	11841
2014-01-03	16797
2014-01-04	16199
2014-01-05	14845
2014-01-06	16160
2014-01-07	11457
