d	COUNT(*)
2013-10-15	1793405
2013-10-16	1798673
2013-10-17	2163833
2013-10-18	1928469
2013-10-19	990648
2013-10-20	952415
2013-10-21	1911639
2013-10-22	1787603
2013-10-23	1756285
2013-10-24	1832563
2013-10-25	1723026
2013-10-26	889652
2013-10-27	993580
2013-10-28	1813895
2013-10-29	1734179
2013-10-30	1841846
2013-10-31	2015526
2013-11-01	1165391
2013-11-02	907896
2013-11-03	816311
2013-11-04	1867567
2013-11-05	2219627
2013-11-06	2543135
2013-11-07	2722528
2013-11-08	2877625
2013-11-09	2182665
2013-11-12	2623536
2013-11-13	2540548
2013-11-14	3114671
2013-11-15	3200743
2013-11-16	2842332
2013-11-17	2846044
2013-11-18	3186944
2013-11-19	3010110
2013-11-20	2857700
2013-11-21	2864797
2013-11-22	3050496
2013-11-23	2542204
2013-11-24	2507338
2013-11-25	2979131
2013-11-26	3075268
2013-11-27	3176782
2013-11-28	2896796
2013-11-29	2889394
2013-11-30	2523849
2013-12-01	2029391
2013-12-02	1659746
2013-12-03	2015603
2013-12-04	1872599
2013-12-05	1785629
2013-12-06	1605097
2013-12-07	1455353
2013-12-08	1473129
2013-12-09	1817209
2013-12-10	1911915
2013-12-11	1779619
2013-12-12	1744882
2013-12-13	1933816
2013-12-14	1726549
2013-12-15	1636997
2013-12-16	1973044
2013-12-17	1735563
2013-12-18	1929120
2013-12-19	2233447
2013-12-20	2252916
2013-12-21	1547834
2013-12-22	1631738
2013-12-23	1867302
2013-12-24	1517574
2013-12-25	1267582
2013-12-26	1433891
2013-12-27	1583578
2013-12-28	1379214
2013-12-29	1440658
2013-12-30	1597141
2013-12-31	1573060
2014-01-01	692291
2014-01-02	718537
2014-01-03	666799
2014-01-04	695878
2014-01-05	576292
2014-01-06	813761
2014-01-07	929052
